  1.000000,  1.000000,-53.000000,396.000000,-32.500895, 17.821606,  1.782161, 15.000000
  1.000000,  1.000000,-53.000000,440.000000,-50.296060,  9.146141,  0.914614, 15.000000
  1.000000,  1.000000,-97.000000,484.000000,-81.894439,  1.346942,  0.500000, 15.000000
  1.000000,  1.000000,-141.000000,528.000000,-113.492817,  6.452257,  0.645226, 15.000000
  1.000000,  1.000000,-141.000000,572.000000,-131.287983, 20.515490,  2.051549, 15.000000
  1.000000,  1.000000,-185.000000,572.000000,-145.091195, 14.251457,  1.425146, 15.000000
  1.000000,  1.000000,-185.000000,616.000000,-162.886361, 12.716291,  1.271629, 15.000000
  1.000000,  1.000000,-229.000000,616.000000,-176.689573, 22.050656,  2.205066, 15.000000
  1.000000,  1.000000,-229.000000,660.000000,-194.484739,  4.917091,  0.500000, 15.000000
  1.000000,  1.000000,-273.000000,704.000000,-226.083117,  2.882108,  0.500000, 15.000000
  1.000000,  1.000000,-317.000000,748.000000,-257.681495, 10.681307,  1.068131, 15.000000
  1.000000,  1.000000,-317.000000,792.000000,-275.476661, 16.286440,  1.628644, 15.000000
  1.000000,  1.000000,-361.000000,792.000000,-289.279873, 18.480507,  1.848051, 15.000000
  1.000000,  1.000000,-361.000000,836.000000,-307.075039,  8.487241,  0.848724, 15.000000
  1.000000,  1.000000,-405.000000,880.000000,-338.673417,  0.688042,  0.500000, 15.000000
  1.000000,  2.000000,405.000000,-792.000000,-235.693493,  9.424383,  0.942438, 15.000000
  1.000000,  2.000000,405.000000,-748.000000,-227.685795,  5.526167,  0.552617, 15.000000
  1.000000,  2.000000,361.000000,-704.000000,-216.785073, 20.905417,  2.090542, 15.000000
  1.000000,  2.000000,405.000000,-704.000000,-219.678097, 20.476717,  2.047672, 15.000000
  1.000000,  2.000000,361.000000,-660.000000,-208.777375,  5.954867,  0.595487, 15.000000
  1.000000,  2.000000,361.000000,-616.000000,-200.769677,  8.995684,  0.899568, 15.000000
  1.000000,  2.000000,317.000000,-572.000000,-189.868956, 17.435900,  1.743590, 15.000000
  1.000000,  2.000000,317.000000,-528.000000,-181.861257,  2.485350,  0.500000, 15.000000
  1.000000,  2.000000,317.000000,-484.000000,-173.853559, 12.465200,  1.246520, 15.000000
  1.000000,  2.000000,273.000000,-440.000000,-162.952838, 13.966384,  1.396638, 15.000000
  1.000000,  2.000000,273.000000,-396.000000,-154.945140,  0.984167,  0.500000, 15.000000
  1.000000,  2.000000,273.000000,-352.000000,-146.937442, 15.934717,  1.593472, 15.000000
  1.000000,  2.000000,229.000000,-308.000000,-136.036720, 10.496867,  1.049687, 15.000000
  1.000000,  2.000000,229.000000,-264.000000,-128.029022,  4.453683,  0.500000, 15.000000
  1.000000,  2.000000,185.000000,-220.000000,-117.128300, 21.977901,  2.197790, 15.000000
  1.000000,  2.000000,229.000000,-220.000000,-120.021324, 19.404234,  1.940423, 15.000000
  1.000000,  2.000000,185.000000,-176.000000,-109.120602,  7.027350,  0.702735, 15.000000
  1.000000,  2.000000,185.000000,-132.000000,-101.112904,  7.923200,  0.792320, 15.000000
  1.000000,  2.000000,141.000000,-88.000000,-90.212183, 18.508384,  1.850838, 15.000000
  1.000000,  2.000000,141.000000,-44.000000,-82.204485,  3.557834,  0.500000, 15.000000
  1.000000,  2.000000,141.000000,  0.000000,-74.196787, 11.392717,  1.139272, 15.000000
  1.000000,  2.000000, 97.000000, 44.000000,-63.296065, 15.038867,  1.503887, 15.000000
  1.000000,  2.000000, 97.000000, 88.000000,-55.288367,  0.500000,  0.500000, 15.000000
  1.000000,  2.000000, 97.000000,132.000000,-47.280669, 14.862234,  1.486223, 15.000000
  1.000000,  2.000000, 53.000000,176.000000,-36.379947, 11.569350,  1.156935, 15.000000
  1.000000,  2.000000, 53.000000,220.000000,-28.372249,  3.381200,  0.500000, 15.000000
  1.000000,  2.000000, 53.000000,264.000000,-20.364551, 18.331750,  1.833175, 15.000000
  2.000000,  1.000000,-53.000000,176.000000,-13.661211, 20.712428,  2.071243, 15.000000
  2.000000,  1.000000,-53.000000,220.000000,-17.820190, 10.422724,  1.042272, 15.000000
  2.000000,  1.000000,-53.000000,264.000000,-21.979169,  0.500000,  0.500000, 15.000000
  2.000000,  1.000000,-53.000000,308.000000,-26.138147, 10.156685,  1.015668, 15.000000
  2.000000,  1.000000,-53.000000,352.000000,-30.297126, 20.446389,  2.044639, 15.000000
  2.000000,  1.000000,-97.000000,352.000000,-31.297470, 22.333536,  2.233354, 15.000000
  2.000000,  1.000000,-97.000000,396.000000,-35.456449, 12.043831,  1.204383, 15.000000
  2.000000,  1.000000,-97.000000,440.000000,-39.615428,  1.754127,  0.500000, 15.000000
  2.000000,  1.000000,-97.000000,484.000000,-43.774406,  8.535578,  0.853558, 15.000000
  2.000000,  1.000000,-97.000000,528.000000,-47.933385, 18.825282,  1.882528, 15.000000
  2.000000,  1.000000,-141.000000,572.000000,-53.092708, 13.664939,  1.366494, 15.000000
  2.000000,  1.000000,-141.000000,616.000000,-57.251687,  3.375234,  0.500000, 15.000000
  2.000000,  1.000000,-141.000000,660.000000,-61.410666,  6.914470,  0.691447, 15.000000
  2.000000,  1.000000,-141.000000,704.000000,-65.569644, 17.204175,  1.720417, 15.000000
  2.000000,  1.000000,-185.000000,748.000000,-70.728967, 15.286046,  1.528605, 15.000000
  2.000000,  1.000000,-185.000000,792.000000,-74.887946,  4.996341,  0.500000, 15.000000
  2.000000,  1.000000,-185.000000,836.000000,-79.046925,  5.293363,  0.529336, 15.000000
